Periodo,Parches,Area_total_ha,Area_media_ha,Area_max_ha,Densidad_parches_1000ha,MSI_medio,NND_medio_km
degradacion,79,12425.625599999996,157.28639999999996,4771.0208,6.357828776041669,0.5066703653526905,1.1008622001511197
recuperacion,38,8650.752,227.65136842105264,3250.5856,4.3926816998106055,1.0131765719607873,1.9862249825014806
actual,15,4037.0176,269.13450666666665,838.8608,3.71561421976461,1.4613596489017753,2.3942035159566175
