variable,importance
B11,19.59094931601485
dist_agua,16.004563511850733
B12,14.262754024152203
CMRI,11.420677362374756
NDWI,11.12147219104032
B5,8.88240424749942
NDVI,8.407833254115106
B8A,7.9229188277392355
B2,7.612002354636877
B3,6.203274856304446
B8,5.927435668274996
B4,5.796203572691549
B7,5.1590993907581515
B6,4.8769142801316745
elev,3.127221338496176
