periodo,parches,parches_borde,pct_borde,area_ha_borde,parches_con_estacion,estaciones_dentro
degradacion,17,6,35.3,5104.3,0,
recuperacion,17,8,47.1,8325.7,0,
actual,15,8,53.3,5237.9,0,
