date,estacion,VH_db,month,tipo,year,VH_z
2024-01-01,CP Aguas Negras,-17.382880664034985,1,manglar,2024,0.7787113471855643
2024-02-01,CP Aguas Negras,-17.47953154746157,2,manglar,2024,0.7076724699149082
2024-03-01,CP Aguas Negras,-17.708918637631022,3,manglar,2024,0.5390718242891624
2024-04-01,CP Aguas Negras,-17.703286166721966,4,manglar,2024,0.5432117182606739
2024-05-01,CP Aguas Negras,-17.563159858963655,5,manglar,2024,0.6462052474071953
2024-06-01,CP Aguas Negras,-17.86712131827943,6,manglar,2024,0.42279207167823185
2024-07-01,CP Aguas Negras,-16.847260196075542,7,manglar,2024,1.1723950398537752
2024-08-01,CP Aguas Negras,-17.421663093079932,8,manglar,2024,0.7502060700530006
2024-09-01,CP Aguas Negras,-17.265449475194824,9,manglar,2024,0.8650238516967123
2024-10-01,CP Aguas Negras,-16.94825668645074,10,manglar,2024,1.098162119986254
2024-11-01,CP Aguas Negras,-17.093726520570772,11,manglar,2024,0.9912410725393841
2024-12-01,CP Aguas Negras,-17.16063933192688,12,manglar,2024,0.9420598252994474
2025-01-01,CP Aguas Negras,-17.045393320719885,1,manglar,2025,1.02676621344421
2025-02-01,CP Aguas Negras,-17.30998973600141,2,manglar,2025,0.8322865397460621
2025-03-01,CP Aguas Negras,-17.5101825565407,3,manglar,2025,0.6851438266682276
2025-04-01,CP Aguas Negras,-17.948826003133593,4,manglar,2025,0.3627387242693444
2025-05-01,CP Aguas Negras,-17.24668783871116,5,manglar,2025,0.8788137472911177
2025-06-01,CP Aguas Negras,-17.014203627672416,6,manglar,2025,1.0496907920714882
2025-07-01,CP Aguas Negras,-17.045630771156052,7,manglar,2025,1.0265916861994016
2025-08-01,CP Aguas Negras,-16.93843945075316,8,manglar,2025,1.1053778367715759
2025-09-01,CP Aguas Negras,-16.944255557720908,9,manglar,2025,1.1011029693888215
2025-10-01,CP Aguas Negras,-16.84718544104438,10,manglar,2025,1.1724499851713523
2025-11-01,CP Aguas Negras,-16.99121967374331,11,manglar,2025,1.0665841118682435
2025-12-01,CP Aguas Negras,-16.993454617721962,12,manglar,2025,1.0649414169918234
2018-01-01,CP Luna,-21.149116568834252,1,manglar,2018,-0.2566121874383011
2018-02-01,CP Luna,-20.210103940327798,2,manglar,2018,0.4681432783611529
2018-03-01,CP Luna,-20.420166910217453,3,manglar,2018,0.30601096941473754
2018-04-01,CP Luna,-22.39722005860955,4,manglar,2018,-1.2199323799864907
2018-05-01,CP Luna,-22.742307630723495,5,manglar,2018,-1.4862803464316803
2018-06-01,CP Luna,-22.513390564953195,6,manglar,2018,-1.3095959338954137
2018-07-01,CP Luna,-23.470564490003472,7,manglar,2018,-2.0483687819286684
2018-08-01,CP Luna,-23.072250420030258,8,manglar,2018,-1.7409391579234266
2018-09-01,CP Luna,-23.240845586807158,9,manglar,2018,-1.871065489475834
2018-10-01,CP Luna,-23.508886240816835,10,manglar,2018,-2.077946550659176
2018-11-01,CP Luna,-23.315185844891758,11,manglar,2018,-1.928443320976836
2018-12-01,CP Luna,-23.468535999868934,12,manglar,2018,-2.04680313811548
2019-01-01,CP Luna,-22.689144366772055,1,manglar,2019,-1.445247494520168
2019-02-01,CP Luna,-22.9784094475694,2,manglar,2019,-1.6685101451048043
2019-03-01,CP Luna,-22.00306177836445,3,manglar,2019,-0.9157103074334124
2019-04-01,CP Luna,-23.404313867703138,4,manglar,2019,-1.9972347511743074
2019-05-01,CP Luna,-22.601329521003986,5,manglar,2019,-1.377469610052338
2019-06-01,CP Luna,-23.18330289790572,6,manglar,2019,-1.826652478370277
2019-07-01,CP Luna,-22.84046249356917,7,manglar,2019,-1.5620389370859378
2019-08-01,CP Luna,-23.17017677439413,8,manglar,2019,-1.8165213795213566
2019-09-01,CP Luna,-22.951090138874786,9,manglar,2019,-1.647424360209901
2019-10-01,CP Luna,-22.687822634715396,10,manglar,2019,-1.4442273457987287
2019-11-01,CP Luna,-23.16162880843886,11,manglar,2019,-1.8099238270929052
2019-12-01,CP Luna,-22.853910119567697,12,manglar,2019,-1.5724181802916029
2020-01-01,CP Luna,-22.03215688057006,1,manglar,2020,-0.9381666980200318
2020-02-01,CP Luna,-21.473466053747394,2,manglar,2020,-0.5069539345923669
2020-03-01,CP Luna,-21.00693216071746,3,manglar,2020,-0.14687039717291506
2020-04-01,CP Luna,-21.468900956538327,4,manglar,2020,-0.5034304685028431
2020-05-01,CP Luna,-21.423746348192054,5,manglar,2020,-0.46857891463498147
2020-06-01,CP Luna,-21.11560501467031,6,manglar,2020,-0.2307470592063401
2020-07-01,CP Luna,-21.003679361883613,7,manglar,2020,-0.1443597986331195
2020-08-01,CP Luna,-20.99449934662357,8,manglar,2020,-0.13727441337432833
2020-09-01,CP Luna,-21.15626780935755,9,manglar,2020,-0.2621317092201875
2020-10-01,CP Luna,-20.866279294887438,10,manglar,2020,-0.038310692866482046
2020-11-01,CP Luna,-20.646111722932936,11,manglar,2020,0.1316206225617458
2020-12-01,CP Luna,-20.825474724855493,12,manglar,2020,-0.006816616788627309
2021-01-01,CP Luna,-20.762104733778504,1,manglar,2021,0.04209406450195435
2021-02-01,CP Luna,-20.95908708472954,2,manglar,2021,-0.10994226726161582
2021-03-01,CP Luna,-20.958590009419773,3,manglar,2021,-0.10955861102874884
2021-04-01,CP Luna,-20.938030909328663,4,manglar,2021,-0.0936905388531391
2021-05-01,CP Luna,-20.82784344069245,5,manglar,2021,-0.008644856045102291
2021-06-01,CP Luna,-20.58022893213556,6,manglar,2021,0.18247075096573342
2021-07-01,CP Luna,-20.383973025703508,7,manglar,2021,0.33394639310730184
2021-08-01,CP Luna,-20.638573338944145,8,manglar,2021,0.13743895219152033
2021-09-01,CP Luna,-20.506645031348302,9,manglar,2021,0.23926480534946987
2021-10-01,CP Luna,-20.402887559473253,10,manglar,2021,0.31934764191215
2021-11-01,CP Luna,-20.478858522767744,11,manglar,2021,0.2607111878132222
2021-12-01,CP Luna,-20.42459018314813,12,manglar,2021,0.3025969671575694
2022-02-01,CP Luna,-20.54401927223372,2,manglar,2022,0.2104183505313974
2022-03-01,CP Luna,-20.134688465351484,3,manglar,2022,0.5263509914798585
2022-04-01,CP Luna,-20.120696389700157,4,manglar,2022,0.5371504557238147
2022-05-01,CP Luna,-19.673743448334722,5,manglar,2022,0.8821208825060094
2022-06-01,CP Luna,-19.579449541354496,6,manglar,2022,0.954899482495876
2022-07-01,CP Luna,-19.743989264101604,7,manglar,2022,0.8279032528586154
2022-08-01,CP Luna,-19.93703365462286,8,manglar,2022,0.6789063459749055
2022-09-01,CP Luna,-19.50953707246332,9,manglar,2022,1.0088598259653836
2022-10-01,CP Luna,-19.528456067739107,10,manglar,2022,0.994257631258621
2022-11-01,CP Luna,-19.571894013058674,11,manglar,2022,0.9607310445677393
2022-12-01,CP Luna,-19.70869235864404,12,manglar,2022,0.8551463637386734
