CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-02-01 00:00,m^3/s,3368.461,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-03-01 00:00,m^3/s,4070.026,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-04-01 00:00,m^3/s,4956.6524,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-05-01 00:00,m^3/s,6889.615,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-06-01 00:00,m^3/s,6802.08,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-07-01 00:00,m^3/s,5772.92938181818,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-08-01 00:00,m^3/s,4049.9948,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-09-01 00:00,m^3/s,4409.8504,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-10-01 00:00,m^3/s,5022.89,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-11-01 00:00,m^3/s,5875.71,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2017-12-01 00:00,m^3/s,5923.8092,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-01-01 00:00,m^3/s,4251.8584,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-02-01 00:00,m^3/s,3287.8215,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-03-01 00:00,m^3/s,2976.762,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-04-01 00:00,m^3/s,4641.572,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-05-01 00:00,m^3/s,6677.03,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-06-01 00:00,m^3/s,6664.525,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-07-01 00:00,m^3/s,4594.1744,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-08-01 00:00,m^3/s,3577.175,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-09-01 00:00,m^3/s,3999.9168,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-10-01 00:00,m^3/s,6007.98279999994,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-11-01 00:00,m^3/s,6212.4044,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2018-12-01 00:00,m^3/s,5869.9417,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2019-01-01 00:00,m^3/s,2634.2372,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2019-02-01 00:00,m^3/s,2579.6996,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2019-03-01 00:00,m^3/s,3567.688,Definitivo
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2019-04-01 00:00,m^3/s,4802.098,Definitivo
